index,title,article_url,date,time,author,excerpt,section,date_dt
159,Βελτιωμένη η εικόνα της πυρκαγιάς στις εγκαταστάσεις της Motor Oil,https://www.athensvoice.gr/epikairotita/ellada/868326/motor-oil-veltiomeni-i-eikona-tis-purkagias-stis-egatastaseis-tis/,2024-09-18,05:12:00,Newsroom,Motor Oil: Βελτιωμένη η εικόνα της πυρκαγιάς στις εγκαταστάσεις της - Δεν φαίνεται να υπάρχει κίνδυνος επέκτασης της σε παρακείμενες δεξαμενές,Ελλαδα,2024-09-18
160,"Motor Oil: Σε ύφεση η φωτιά, παραμένουν ισχυρές δυνάμεις Πυροσβεστικής – Τρεις εργαζόμενοι ελαφρά τραυματίες",https://www.athensvoice.gr/epikairotita/ellada/868303/motor-oil-se-ufesi-i-purkagia-stis-egatastaseis-tis/,2024-09-17,17:45:00,Γιώργος Σόμπολος,Μotor Oil: Σε ύφεση η πυρκαγιά στις εγκαταστάσεις της,Ελλαδα,2024-09-17
161,"Βασίλης Κικίλιας: «Φέτος είχαμε περισσότερες πυρκαγιές, αλλά λιγότερες καμένες εκτάσεις»",https://www.athensvoice.gr/epikairotita/politiki-oikonomia/868096/kikilias-perissoteres-purkagies-alla-ligoteres-kamenes-ektaseis/,2024-09-16,14:41:13,Newsroom,"Βασίλης Κικίλιας: «Φέτος είχαμε περισσότερες πυρκαγιές, αλλά λιγότερες καμένες εκτάσεις»",Πολιτικη & Οικονομια,2024-09-16
162,Βραζιλία: Οι πυρκαγιές απειλούν μέχρι το Σάο Πάολο και το Ρίο,https://www.athensvoice.gr/epikairotita/diethni/867830/vrazilia-oi-purkagies-apeiloun-mehri-to-sao-paolo-kai-to-rio/,2024-09-14,06:25:30,Newsroom,Βραζιλία: Οι πυρκαγιές απειλούν μέχρι το Σάο Πάολο και το Ρίο - Δεκάδες χιλιάδες εστίες παραμένουν ενεργές,Κοσμος,2024-09-14
163,H Λατινική Αμερική αντιμέτωπη με τον μεγαλύτερο αριθμό πυρκαγιών όλων των εποχών,https://www.athensvoice.gr/life/perivallon/867742/latiniki-ameriki-adimetopi-me-ton-megalutero-arithmo-purkagion-olon-ton-epohon/,2024-09-13,13:44:00,Newsroom,Λατινική Αμερική: Αντιμέτωπη με τον μεγαλύτερο αριθμό πυρκαγιών όλων των εποχών,Περιβαλλον,2024-09-13
164,Κικίλιας: Οι πυρομετεωρολογικές συνθήκες δημιουργούν «εκρηκτικό κοκτέιλ» για επικίνδυνες φωτιές την Παρασκευή,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/867572/kindunos-purkagias-polu-upsilos-gia-tin-paraskeui/,2024-09-12,19:53:57,Newsroom,Κίνδυνος πυρκαγιάς: Πολύ υψηλός για την Παρασκευή - Tην απόλυτη εγρήγορση του κρατικού μηχανισμού ζητά o υπουργός Κλιματικής Κρίσης και Πολιτικής Προστασίας,Πολιτικη & Οικονομια,2024-09-12
165,Πολύ υψηλός κίνδυνος πυρκαγιάς αύριο Παρασκευή σε έξι περιφέρειες,https://www.athensvoice.gr/epikairotita/ellada/867500/kindunos-purkagias-polu-upsilos-aurio-se-exi-perifereies/,2024-09-12,10:48:39,Newsroom,Κίνδυνος πυρκαγιάς: Πολύ υψηλός αύριο σε έξι Περιφέρειες - Ο χάρτης της Γενικής Γραμματείας Πολιτικής Προστασίας,Ελλαδα,2024-09-12
166,Βρετανία: Ευθύνη του κράτους η πυρκαγιά στον Πύργο Γκρένφελ - Συγγνώμη ζητάει ο Στάρμερ,https://www.athensvoice.gr/epikairotita/diethni/866182/purgos-grenfel-euthuni-purkagia/,2024-09-04,13:34:03,Newsroom,Βρετανία: Ευθύνη του κράτους η πυρκαγιά στον Πύργο Γκρένφελ - Συγγνώμη ζητάει ο Στάρμερ,Κοσμος,2024-09-04
167,Πολύ υψηλός κίνδυνος πυρκαγιάς αύριο Παρασκευή στην Περιφέρεια Νοτίου Αιγαίου,https://www.athensvoice.gr/epikairotita/ellada/865329/kindunos-purkagias-aurio-paraskeui-sti-rodo/,2024-08-29,11:29:50,Newsroom,Κίνδυνος πυρκαγιάς αύριο Παρασκευή (30.8) στη Ρόδο - Δείτε τον χάρτη της ΓΓΠΠ,Ελλαδα,2024-08-29
168,Φωτιά σε δασική έκταση κοντά στο καταφύγιο Πετρόστρουγκα στον Όλυμπο,https://www.athensvoice.gr/epikairotita/ellada/864909/olubos-kaigetai-dasiki-ektasi-koda-sto-katafugio-petrostrouga/,2024-08-26,14:00:36,Newsroom,Όλυμπος: Καίγεται δασική έκταση κοντά στο καταφύγιο Πετρόστρουγκα,Ελλαδα,2024-08-26
169,"Πολύ υψηλός ο κίνδυνος πυρκαγιάς σε 4 Περιφέρειες σήμερα, Δευτέρα",https://www.athensvoice.gr/epikairotita/ellada/864809/kindunos-purkagias-polu-upsilos-se-4-perifereies-simera-deutera/,2024-08-26,04:45:16,Newsroom,Κίνδυνος Πυρκαγιάς: Πολύ υψηλός σε 4 Περιφέρειες σήμερα Δευτέρα - Ποιες περιοχές είναι στο «κόκκινο»,Ελλαδα,2024-08-26
170,Σαν σήμερα: Οι πιο διάσημες… γραφομηχανές,https://www.athensvoice.gr/politismos/vivlio/864798/san-simera-26-augoustou-oi-pio-diasimes-grafomihanes/,2024-08-26,04:22:16,A.V. Team,"Η πρώτη γραφομηχανή έμοιαζε με εκκλησιαστικό όργανο, οι επόμενες ήταν κάπως πιο πρακτικές, τελικά όμως έγιναν το φετίχ των συγγραφέων",Βιβλιο,2024-08-26
171,"Πολύ υψηλός ο κίνδυνος πυρκαγιάς σε 4 Περιφέρειες αύριο, Δευτέρα",https://www.athensvoice.gr/epikairotita/ellada/864757/kindunos-purkagias-polu-upsilos-se-4-perifereies-aurio-deutera/,2024-08-25,12:26:00,Newsroom,"Κίνδυνος Πυρκαγιάς: Πολύ υψηλός σε 4 Περιφέρειες αύριο, Δευτέρα - Ο χάρτης της Γενικής Γραμματείας Πολιτικής Προστασίας",Ελλαδα,2024-08-25
